,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
1472,17-Jun-2006,Unprovoked,USA,Scuba diving,M,N,2006
1473,15-Jun-2006,Unprovoked,USA,Surfing,M,N,2006
1474,07-Jun-2006,Unprovoked,USA,Playing,F,N,2006
1475,05-Jun-2006,Unprovoked,AUSTRALIA,Surfing,M,N,2006
1476,31-May-2006,Unprovoked,USA,Spearfishing,M,N,2006
1478,27-May-2006,Unprovoked,USA,Surfing,M,N,2006
1479,24-May-2006,Provoked,USA,Spearfishing,M,N,2006
1481,19-May-2006,Unprovoked,USA,Scuba diving,F,N,2006
1482,05-May-2006,Unprovoked,USA,,M,N,2006
1483,04-May-2006,Unprovoked,USA,Swimming,F,N,2006
1484,02-May-2006,Provoked,AUSTRALIA,Snorkeling,M,N,2006
1485,Reported23-Apr-2006,Invalid,USA,,M,,2006
1486,21-Apr-2006,Unprovoked,USA,Surfing,M,N,2006
1487,19-Apr-2006,Unprovoked,USA,Standing,F,N,2006
1488,13-Apr-2006,Provoked,USA,Fishing,M,N,2006
1489,11-Apr-2006,Unprovoked,AUSTRALIA,Surfing,M,N,2006
1490,09-Apr-2006,Unprovoked,SOUTH AFRICA,Body boarding,M,N,2006
1492,03-Apr-2006,Unprovoked,USA,Wading,M,N,2006
1494,23-Mar-2006,Unprovoked,USA,Surfing,F,N,2006
1495,22-Mar-2006,Invalid,SOUTH AFRICA,Swimming,M,,2006
1497,15-Mar-2006,Unprovoked,AUSTRALIA,Surfing,M,N,2006
1498,27-Feb-2006,Unprovoked,USA,Standing,F,N,2006
1499,23-Feb-2006,Invalid,USA,Free diving,M,,2006
1500,13-Feb-2006,Unprovoked,AUSTRALIA,Wading,M,N,2006
1501,12-Feb-2006,Unprovoked,AUSTRALIA,Swimming,M,N,2006
1502,12-Feb-2006,Boating,AUSTRALIA,Fishing,M,N,2006
1503,08-Feb-2006,Unprovoked,SOUTH AFRICA,Surfing,M,N,2006
1505,01-Feb-2006,Boating,USA,Kayaking,M,N,2006
1507,25-Jan-2006,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,2006
1509,18-Jan-2006,Unprovoked,USA,Night Surfing,M,N,2006
1510,15-Jan-2006,Unprovoked,AUSTRALIA,Scuba diving,M,N,2006
1512,07-Jan-2006,Unprovoked,AUSTRALIA,Swimming,F,Y,2006
1513,04-Jan-2006,Unprovoked,USA,Surfing,M,N,2006
1514,01-Jan-2006,Unprovoked,SOUTH AFRICA,Diving for crayfish,M,N,2006
1515,24-Dec-2005,Unprovoked,USA,Surfing,M,N,2005
1516,21-Dec-2005,Unprovoked,USA,Swimming,M,N,2005
1518,11-Dec-2005,Unprovoked,AUSTRALIA,Spearfishing,M,N,2005
1520,29-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1521,27-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1523,25-Nov-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1524,25-Nov-2005,Unprovoked,SOUTH AFRICA,Surfing,M,N,2005
1526,21-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1527,20-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1529,15-Nov-2005,Provoked,SOUTH AFRICA,Fishing for sharks,M,N,2005
1530,12-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1531,02-Nov-2005,Unprovoked,USA,Surfing,M,N,2005
1533,29-Oct-2005,Unprovoked,USA,Wading,M,N,2005
1535,22-Oct-2005,Unprovoked,SOUTH AFRICA,Standing / Surfing,M,N,2005
1536,21-Oct-2005,Unprovoked,USA,Surfing,M,N,2005
1537,19-Oct-2005,Unprovoked,USA,Surfing,F,N,2005
1538,15-Oct-2005,Provoked,USA,Wading,M,N,2005
1539,13-Oct-2005,Unprovoked,USA,Surfing,M,N,2005
1541,06-Oct-2005,Unprovoked,USA,Treading water/ Surfing,M,N,2005
1543,01-Oct-2005,Unprovoked,SOUTH AFRICA,Surf-skiing,M,N,2005
1544,Reported27-Sep-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1545,24-Sep-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1546,23-Sep-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1547,22-Sep-2005,Invalid,USA,Surfing,M,,2005
1548,20-Sep-2005,Unprovoked,USA,Body surfing,F,N,2005
1549,11-Sep-2005,Unprovoked,USA,Surfing,M,Y,2005
1550,07-Sep-2005,Unprovoked,AUSTRALIA,Standing,M,N,2005
1551,05-Sep-2005,Unprovoked,USA,Wading,F,N,2005
1552,04-Sep-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1553,02-Sep-2005,Unprovoked,USA,Standing / Surfing,M,N,2005
1555,24-Aug-2005,Unprovoked,AUSTRALIA,Scuba diving,M,Y,2005
1556,24-Aug-2005,Unprovoked,USA,Surfing,M,N,2005
1557,22-Aug-2005,Invalid,USA,"Boogie boarding, kicked at object in the water",M,,2005
1558,21-Aug-2005,Unprovoked,USA,Swimming,M,N,2005
1559,19-Aug-2005,Unprovoked,USA,Walking,M,N,2005
1561,12-Aug-2005,Unprovoked,USA,Surfing,M,N,2005
1562,6-Aug-2005,Unprovoked,USA,Swimming,M,N,2005
1564,27-Jul-2005,Unprovoked,USA,Wading,F,N,2005
1565,23-Jul-2005,Unprovoked,USA,Surfing,M,N,2005
1566,22-Jul-2005,Invalid,USA,Surfing,M,,2005
1570,15-Jul-2005,Unprovoked,USA,Swimming,M,N,2005
1571,13-Jul-2005,Unprovoked,USA,Holding onto an inflatable boat,F,N,2005
1572,1-Jul-2005,Unprovoked,USA,Standing,M,N,2005
1573,27-Jun-2005,Unprovoked,USA,Fishing,M,N,2005
1574,25-Jun-2005,Unprovoked,USA,Swimming with boogie board,F,Y,2005
1577,18-Jun-2005,Invalid,USA,Swimming,M,,2005
1578,16-Jun-2005,Unprovoked,USA,Swimming,M,N,2005
1580,07-Jun-2005,Unprovoked,USA,Boogie boarding,F,N,2005
1581,05-Jun-2005,Invalid,USA,Surfing,M,,2005
1582,04-Jun-2005,Unprovoked,SOUTH AFRICA,Spearfishing (Free diving),M,Y,2005
1583,02-Jun-2005,Unprovoked,USA,Wading,M,N,2005
1584,28-May-2005,Unprovoked,USA,Swimming,M,N,2005
1585,27-May-2005,Unprovoked,USA,Crouching in 2' of water,F,N,2005
1586,25-May-2005,Unprovoked,SOUTH AFRICA,Surfing,M,N,2005
1590,02-May-2005,Sea Disaster,USA,Sea Disaster,M,N,2005
1591,02-May-2005,Unprovoked,USA,Surfing,M,N,2005
1592,25-Apr-2005,Provoked,AUSTRALIA,Fishing,M,N,2005
1594,16-Apr-2005,Unprovoked,AUSTRALIA,Spearfishing,M,N,2005
1595,16-Apr-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1596,13-Apr-2005,Unprovoked,USA,Wading,F,N,2005
1597,09-Apr-2005,Invalid,USA,Surfing,M,,2005
1598,07-Apr-2005,Unprovoked,USA,Surfing,M,N,2005
1599,06-Apr-2005,Unprovoked,USA,,F,N,2005
1601,28-Mar-2005,Unprovoked,SOUTH AFRICA,Surfing,M,N,2005
1602,Reported27-Mar-2005,Unprovoked,AUSTRALIA,Surfing,M,N,2005
1604,19-Mar-2005,Unprovoked,AUSTRALIA,Snorkeling,M,Y,2005
1605,12-Mar-2005,Provoked,USA,Diving in aquarium display tank,M,N,2005
1606,10-Mar-2005,Invalid,SOUTH AFRICA,,M,,2005
1609,26-Feb-2005,Unprovoked,AUSTRALIA,Swimming,M,N,2005
1610,22-Feb-2005,Provoked,USA,Spearfishing,M,N,2005
1611,16-Feb-2005,Unprovoked,USA,Surfing,M,N,2005
1612,13-Feb-2005,Unprovoked,USA,Spearfishing,M,N,2005
1615,19-Jan-2005,Provoked,AUSTRALIA,Spearfishing,M,N,2005
1619,16-Dec-2004,Unprovoked,AUSTRALIA,Scurfing (surfboard being  towed behind a boat),M,Y,2004
1620,11-Dec-2004,Unprovoked,AUSTRALIA,Spearfishing,M,Y,2004
1621,27-Nov-2004,Unprovoked,SOUTH AFRICA,Surfing,M,N,2004
1622,26-Nov-2004,Unprovoked,SOUTH AFRICA,Playing,M,N,2004
1623,15-Nov-2004,Unprovoked,SOUTH AFRICA,Swimming,F,Y,2004
1629,30-Oct-2004,Unprovoked,SOUTH AFRICA,Chumming for white sharks,M,N,2004
1630,21-Oct-2004,Unprovoked,AUSTRALIA,Surfing,M,N,2004
1631,10-Oct-2004,Unprovoked,USA,Surfing,M,N,2004
1632,09-Oct-2004,Unprovoked,USA,Spearfishing,M,N,2004
1633,09-Oct-2004,Unprovoked,SOUTH AFRICA,Surfing,M,N,2004
1635,02-Oct-2004,Unprovoked,USA,Surfing,M,N,2004
1636,01-Oct-2004,Unprovoked,USA,Surfing,M,N,2004
1638,20-Sep-2004,Unprovoked,USA,Surfing,M,N,2004
1639,10-Sep-2004,Invalid,USA,Surf fishing,M,,2004
1641,04-Sep-2004,Unprovoked,USA,Jumping,F,N,2004
1642,29-Aug-2004,Unprovoked,USA,Walking,F,N,2004
1644,20-Aug-2004,Unprovoked,USA,Surfing,M,N,2004
1645,15-Aug-2004,Unprovoked,USA,Diving,M,Y,2004
1646,06-Aug-2004,Unprovoked,USA,Swimming,M,N,2004
1647,03-Aug-2004,Unprovoked,AUSTRALIA,Spearfishing,M,N,2004
1649,31-Jul-2004,Unprovoked,USA,Surfing,F,N,2004
1651,28-Jul-2004,Unprovoked,USA,Surfing,F,N,2004
1652,27-Jul-2004,Unprovoked,USA,Swimming,F,N,2004
1654,25-Jul-2004,Unprovoked,USA,Wading / fishing & carrying a bag of fish,M,N,2004
1657,10-Jul-2004,Unprovoked,AUSTRALIA,Surfing,M,Y,2004
1659,02-Jul-2004,Unprovoked,USA,Wading,M,N,2004
1660,26-Jun-2004,Unprovoked,USA,Surfing,M,N,2004
1661,26-Jun-2004,Invalid,AUSTRALIA,Crayfishing,M,,2004
1662,14-Jun-2004,Unprovoked,USA,In water with diving seabirds,F,N,2004
1663,10-Jun-2004,Unprovoked,AUSTRALIA,Body boarding,M,N,2004
1664,10-Jun-2004,Unprovoked,USA,Swimming,M,N,2004
1665,02-Jun-2004,Unprovoked,SOUTH AFRICA,"Swimming, poaching perlemoen",M,Y,2004
1666,29-May-2004,Unprovoked,USA,Wading,M,N,2004
1668,28-May-2004,Unprovoked,USA,Surfing,M,N,2004
1669,23-May-2004,Unprovoked,USA,Boogie-boarding / swimming,M,N,2004
1670,22-May-2004,Invalid,USA,Swimming,M,,2004
1671,22-May-2004,Unprovoked,USA,,F,N,2004
1674,04-May-2004,Unprovoked,USA,Tandem surfing,M,N,2004
1676,26-Apr-2004,Unprovoked,AUSTRALIA,Diving,M,N,2004
1680,07-Apr-2004,Unprovoked,USA,Surfing,M,Y,2004
1681,05-Apr-2004,Unprovoked,SOUTH AFRICA,Surfing,M,N,2004
1682,04-Apr-2004,Invalid,USA,Surfing,F,,2004
1683,31-Mar-2004,Unprovoked,USA,,M,N,2004
1684,31-Mar-2004,Unprovoked,USA,Surfing,M,N,2004
1686,28-Mar-2004,Unprovoked,USA,Surfing,M,N,2004
1688,27-Mar-2004,Unprovoked,USA,Swimming,M,N,2004
1689,14-Mar-2004,Unprovoked,USA,Snorkeling,F,N,2004
1691,16-Mar-2004,Unprovoked,USA,Surfing,M,N,2004
1692,06-Mar-2004,Unprovoked,AUSTRALIA,Spearfishing,M,N,2004
1695,21-Feb-2004,Unprovoked,AUSTRALIA,Swimming,M,N,2004
1696,16-Feb-2004,Invalid,AUSTRALIA,Free diving & spearfishing,M,,2004
1698,11-Feb-2004,Unprovoked,AUSTRALIA,Snorkeling,M,N,2004
1699,25-Jan-2004,Unprovoked,AUSTRALIA,Scuba diving,M,N,2004
1704,15-Jan-2004 ,Boating,SOUTH AFRICA,Surf skiing,M,N,2004
1705,12-Jan-2004,Unprovoked,AUSTRALIA,Diving,M,N,2004
1706,07-Jan-2004,Unprovoked,SOUTH AFRICA,Surfing,M,N,2004
1709,2004,Unprovoked,AUSTRALIA,Surfing,M,N,2004
1711,26-Dec-2003,Invalid,USA,Swimming,M,,2003
1712,13-Dec-2003,Unprovoked,USA,Swimming,M,N,2003
1714,08-Dec-2003,Unprovoked,AUSTRALIA,Surfing amid a shoal of sharks,M,N,2003
1715,30-Nov-2003,Unprovoked,AUSTRALIA,Swimming,M,N,2003
1717,27-Nov-2003,Unprovoked,SOUTH AFRICA,Spearfishing,M,Y,2003
1718,22-Nov-2003,Unprovoked,USA,Surfing,F,N,2003
1720,12-Nov-2003,Unprovoked,USA,Surfing,M,N,2003
1723,01-Nov-2003,Unprovoked,AUSTRALIA,Standing,M,N,2003
1725,31-Oct-2003,Unprovoked,USA,Surfing,M,N,2003
1726,31-Oct-2003,Unprovoked,AUSTRALIA,Surfing,M,N,2003
1727,31-Oct-2003,Unprovoked,USA,Surfing,F,N,2003
1728,27-Oct-2003,Unprovoked,USA,Surfing,M,N,2003
1729,24-Oct-2003,Invalid,USA,Snorkeling,M,,2003
1730,14-Oct-2003,Unprovoked,USA,Surfing,M,N,2003
1731,06-Oct-2003,Invalid,USA,Swimming to shore from boat or kayak,M,Y,2003
1732,05-Oct-2003,Unprovoked,USA,Surfing,F,N,2003
1733,05-Oct-2003,Unprovoked,USA,Surfing,M,N,2003
1734,05-Oct-2003,Provoked,USA,Surfing,M,N,2003
1735,05-Oct-2003,Unprovoked,USA,Sitting on surfboard,M,N,2003
1736,05-Oct-2003,Unprovoked,USA,Wading near a fishing net,F,N,2003
1738,28-Sep-2003,Unprovoked,USA,Surfing,M,N,2003
1739,21-Sep-2003,Unprovoked,USA,Surfing,M,N,2003
1740,19-Sep-2003,Unprovoked,USA,Surfing,M,N,2003
1741,17-Sep-2003,Unprovoked,USA,Surfing,M,N,2003
1742,14-Sep-2003,Unprovoked,USA,Surfing,M,N,2003
1744,14-Sep-2003,Invalid,USA,Swimming,F,,2003
1745,13-Sep-2003,Unprovoked,USA,Body boarding,M,N,2003
1746,13-Sep-2003,Unprovoked,USA,"Standing, stepped on shark",M,N,2003
1747,12-Sep-2003,Unprovoked,SOUTH AFRICA,Body boarding,M,Y,2003
1748,Sep-2003,Unprovoked,USA,Wade-fishing,M,N,2003
1749,29-Aug-2003,Provoked,USA,Fishing,M,N,2003
1750,19-Aug-2003,Unprovoked,USA,"Swimming, wearing black wetsuit & swim fins",F,Y,2003
1751,12-Aug-2003,Invalid,USA,Swimming,M,,2003
1752,08-Aug-2003,Unprovoked,SOUTH AFRICA,Sitting on surfboard,M,N,2003
1753,26-Jul-2003,Unprovoked,AUSTRALIA,Surf skiing,M,N,2003
1754,20-Jul-2003,Unprovoked,USA,Surfing,M,N,2003
1755,15-Jul-2003,Unprovoked,USA,Wading,F,N,2003
1757,05-Jul-2003,Provoked,USA,"Walking, carrying surfboard & stepped on shark",M,N,2003
1758,05-Jul-2003,Unprovoked,USA,Surfing,M,N,2003
1760,Jul-2003,Unprovoked,USA,Spearfishing,M,N,2003
1763,30-Jun-2003,Unprovoked,USA,Surfing,M,N,2003
1764,26-Jun-2003,Unprovoked,USA,Surfing,M,N,2003
1766,24-Jun-2003,Unprovoked,USA,Standing,F,N,2003
1767,24-Jun-2003,Unprovoked,USA,Swimming with pod of dolphins,M,N,2003
1768,22-Jun-2003,Unprovoked,USA,Swimming,M,N,2003
1769,19-Jun-2003,Unprovoked,USA,Surfing ,M,N,2003
1771,Jun-2003,Invalid,USA,Swimming,F,,2003
1772,25-May-2003,Unprovoked,USA,Surfing,M,N,2003
1773,14-May-2003,Unprovoked,USA,Wading,M,N,2003
1774,10-May-2003,Unprovoked,USA,Swimming,M,N,2003
1775,07-May-2003,Provoked,USA,Surfing,M,N,2003
1776,03-May-2003,Unprovoked,USA,Walking,F,N,2003
1782,21-Apr-2003,Unprovoked,USA,Surfing,M,N,2003
1784,20-Apr-2003,Unprovoked,USA,Surfing,M,N,2003
1787,19-Apr-2003,Unprovoked,USA,Jumping,M,N,2003
1788,18-Apr-2003,Unprovoked,USA,Surfing,M,N,2003
1789,15-Apr-2003,Unprovoked,USA,Swimming (using a float),M,N,2003
1791,09-Apr-2003,Unprovoked,USA,Surfing,M,N,2003
1792,04-Apr-2003,Unprovoked,USA,Surfing,M,N,2003
1793,10-Mar-2003,Provoked,USA,Petting captive sharks,F,N,2003
1795,15-Feb-2003,Unprovoked,AUSTRALIA,Wading,M,N,2003
1796,15-Feb-2003,Unprovoked,USA,Swimming,M,N,2003
1797,11-Feb-2003,Unprovoked,AUSTRALIA,Swimming,M,N,2003
1798,08-Feb-2003,Unprovoked,AUSTRALIA,Swimming,M,Y,2003
1799,17-Jan-2003,Invalid,SOUTH AFRICA,Unknown,M,,2003
1801,02-Jan-2003,Unprovoked,AUSTRALIA,Surfing,F,N,2003
1802,29-Dec-2002,Unprovoked,AUSTRALIA,Snorkeling,F,N,2002
1803,24-Dec-2002,Unprovoked,SOUTH AFRICA,Snorkeling,M,N,2002
1804,21-Dec-2002,Unprovoked,AUSTRALIA,Scuba diving,M,N,2002
1805,20-Dec-2002,Invalid,AUSTRALIA,Swimming,M,,2002
1806,16-Dec-2002,Unprovoked,AUSTRALIA,Swimming,M,Y,2002
1809,28-Nov-2002,Unprovoked,USA,Body boarding,M,N,2002
1810,17-Nov-2002,Unprovoked,USA,Swimming,F,N,2002
1812,11-Nov-2002,Unprovoked,USA,Surfing,M,N,2002
1813,02-Nov-2002,Unprovoked,USA,Boogie boarding,M,N,2002
1815,30-Oct-2002,Unprovoked,USA,Swimming,F,N,2002
1817,11-Oct-2002,Unprovoked,USA,Surfing,M,N,2002
1818,05-Oct-2002,Unprovoked,USA,Surfing,M,N,2002
1820,03-Oct-2002,Unprovoked,USA,Surfing,M,N,2002
1821,30-Sep-2002,Unprovoked,USA,Surfing,M,N,2002
1822,29-Sep-2002,Unprovoked,USA,Surfing,M,N,2002
1823,27-Sep-2002,Unprovoked,USA,Fishing from Surfboard,M,N,2002
1824,27-Sep-2002,Provoked,USA,Fishing,M,N,2002
1826,21-Sep-2002,Unprovoked,USA,Boogie boarding or Surfing,M,N,2002
1827,21-Sep-2002,Unprovoked,USA,Surfing,M,N,2002
1830,13-Sep-2002,Unprovoked,SOUTH AFRICA,Surf skiing,M,N,2002
1831,09-Sep-2002,Unprovoked,USA,Boogie boarding,M,N,2002
1832,05-Sep-2002,Provoked,USA,"Wading, when he stepped on the shark",M,N,2002
1833,28-Aug-2002,Unprovoked,USA,Surfing,M,N,2002
1834,17-Aug-2002,Unprovoked,USA,Swimming,F,N,2002
1835,14-Aug-2002,Unprovoked,USA,Surfing,M,N,2002
1836,11-Aug-2002,Unprovoked,USA,Surfing,M,N,2002
1837,07-Aug-2002,Unprovoked,USA,Standing,M,N,2002
1839,05-Aug-2002,Unprovoked,USA,Standing,M,N,2002
1840,26-Jul-2002,Unprovoked,USA,Surfing,M,N,2002
1841,20-Jul-2002,Unprovoked,USA,Swimming,F,N,2002
1842,10-Jul-2002,Provoked,USA,Surfing,M,N,2002
1843,09-Jul-2002,Provoked,USA,Shark Fishing,M,Y,2002
1845,04-Jul-2002,Unprovoked,USA,Standing,F,N,2002
1846,20-Jun-2002,Unprovoked,AUSTRALIA,Surfing,M,N,2002
1847,20-Jun-2002,Unprovoked,USA,Swimming,F,N,2002
1852,10-Jun-2002,Unprovoked,USA,Surfing,M,N,2002
1853,09-Jun-2002,Unprovoked,USA,Surfing,M,N,2002
1854,09-Jun-2002,Unprovoked,USA,Swimming,M,N,2002
1855,03-Jun-2002,Unprovoked,SOUTH AFRICA,Snorkeling (filming the sardine run),M,N,2002
1856,31-May-2002,Unprovoked,USA,Surfing,M,N,2002
1857,31-May-2002,Unprovoked,USA,Floating on a raft,M,N,2002
1858,22-May-2002,Provoked,USA,"Fishing, removing the shark from his line",M,N,2002
1859,22-May-2002,Unprovoked,USA,Playing in the surf with his 2 dogs,M,N,2002
1862,13-May-2002,Unprovoked,USA,Fishing,M,N,2002
1864,07-May-2002,Provoked,AUSTRALIA,Fishing from prawn trawler,M,N,2002
1865,30-Apr-2002,Unprovoked,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,M,Y,2002
1866,21-Apr-2002,Invalid,AUSTRALIA,Fishing (Drowned 2-Apr-2002),M,,2002
1867,20-Apr-2002,Unprovoked,USA,"Surfing, but standing in water alongside board",M,N,2002
1868,18-Apr-2002,Unprovoked,USA,Surfing,M,N,2002
1869,12-Apr-2002,Unprovoked,AUSTRALIA,Swimming,M,N,2002
1871,02-Apr-2002,Unprovoked,USA,Wading,M,N,2002
1872,01-Apr-2002,Unprovoked,USA,Swimming / Wading,M,N,2002
1873,25-Mar-2002,Unprovoked,USA,Body-boarding,M,N,2002
1874,25-Mar-2002,Unprovoked,USA,Wading,F,N,2002
1876,19-Mar-2002,Unprovoked,USA,Swimming /  boogie boarding,M,N,2002
1877,15-Mar-2002,Unprovoked,USA,Snorkeling,M,N,2002
1878,15-Mar-2002,Unprovoked,USA,Surfing,M,N,2002
1881,16-Feb-2002,Unprovoked,AUSTRALIA,Surfing,M,N,2002
1883,07-Feb-2002,Boating,AUSTRALIA,Kayaking,M,N,2002
1884,30-Jan-2002,Unprovoked,AUSTRALIA,Surfing,M,N,2002
1885,30-Jan-2002,Unprovoked,AUSTRALIA,Swimming,M,N,2002
1886,04-Jan-2002,Unprovoked,SOUTH AFRICA,Fishing,M,N,2002
1888,01-Jan-2002,Unprovoked,SOUTH AFRICA,Surf skiing,M,N,2002
1889,01-Jan-2002,Unprovoked,USA,Snorkeling,M,N,2002
1890,21-Dec-2001,Invalid,AUSTRALIA,Surfing,M,N,2001
1891,23-Nov-2001,Unprovoked,AUSTRALIA,Surfing,M,N,2001
1893,07-Nov-2001,Invalid,AUSTRALIA,Surf-skiing,M,,2001
1894,07-Oct-2001,Unprovoked,SOUTH AFRICA,Kite-Boarding,M,N,2001
1895,02-Oct-2001,Unprovoked,AUSTRALIA,Snorkeling,F,N,2001
1897,30-Sep-2001,Boating,AUSTRALIA,,M,N,2001
1898,24-Sep-2001,Provoked,USA,"Surfing, fell off surfboard & stepped on the shark.",M,N,2001
1899,18-Sep-2001,Unprovoked,USA,Surfing,M,N,2001
1900,16-Sep-2001,Invalid,USA,Wreck / Technical diving,M,Y,2001
1901,15-Sep-2001,Unprovoked,USA,Boogie boarding,M,N,2001
1902,15-Sep-2001,Unprovoked,USA,Surfing,M,N,2001
1904,08-Sep-2001,Provoked,USA,Fishing,M,N,2001
1905,07-Sep-2001,Unprovoked,USA,Walking in shallows,M,N,2001
1906,07-Sep-2001,Invalid,USA,Swimming,F,N,2001
1907,03-Sep-2001,Unprovoked,USA,Swimming ,M,Y,2001
1908,03-Sep-2001,Unprovoked,USA,Swimming,F,N,2001
1909,02-Sep-2001,Unprovoked,USA,Wading,M,N,2001
1910,01-Sep-2001,Unprovoked,USA,Swimming ,M,Y,2001
1912,29-Aug-2001,Unprovoked,USA,Standing,F,N,2001
1913,27-Aug-2001,Unprovoked,USA,Wading,M,N,2001
1914,26-Aug-2001,Unprovoked,USA,Boogie Boarding,M,N,2001
1915,25-Aug-2001,Unprovoked,USA,Boogie Boarding,M,N,2001
1916,22-Aug-2001,Unprovoked,USA,Surfing,M,N,2001
1917,21-Aug-2001,Unprovoked,USA,Surfing,M,N,2001
1918,19-Aug-2001,Unprovoked,USA,Surfing,M,N,2001
1919,19-Aug-2001,Unprovoked,USA,Surfing,F,N,2001
1921,18-Aug-2001,Unprovoked,USA,Surfing,M,N,2001
1926,05-Aug-2001,Unprovoked,USA,,F,N,2001
1929,26-Jul-2001,Unprovoked,USA,,F,N,2001
1930,25-Jul-2001,Unprovoked,USA,,M,N,2001
1931,24-Jul-2001,Unprovoked,USA,,F,N,2001
1933,15-Jul-2001,Unprovoked,USA,Surfing,M,N,2001
1934,15-Jul-2001,Unprovoked,USA,Boogie boarding,M,N,2001
1936,06-Jul-2001,Unprovoked,USA,Swimming,M,N,2001
1938,Jul-2001,Unprovoked,USA,Floating face-down in knee-deep water,M,N,2001
1939,12-Jun-2001,Unprovoked,USA,Swimming,M,N,2001
1940,10-Jun-2001,Provoked,USA,Spearfishing,M,N,2001
1941,09-Jun-2001,Invalid,AUSTRALIA,Hiking on the beach,M,,2001
1942,03-Jun-2001,Unprovoked,USA,Wading,F,N,2001
1943,29-May-2001,Unprovoked,USA,,M,N,2001
1944,23-May-2001,Unprovoked,USA,Swimming,M,N,2001
1945,20-May-2001,Unprovoked,USA,Swimming,M,N,2001
1948,08-May-2001,Unprovoked,SOUTH AFRICA,Surfing,M,N,2001
1949,04-May-2001,Unprovoked,AUSTRALIA,Surfing,M,N,2001
1950,03-May-2001,Unprovoked,USA,Surfing,M,N,2001
1952,28-Apr-2001,Unprovoked,USA,Boogie boarding,M,N,2001
1953,13-Apr-2001,Unprovoked,USA,Surfing,M,N,2001
1955,12-Apr-2001,Unprovoked,USA,,M,N,2001
1956,12-Apr-2001,Unprovoked,USA,Surfing,M,N,2001
1958,12-Apr-2001,Unprovoked,USA,Body boarding,M,N,2001
1960,11-Apr-2001,Unprovoked,USA,Surfing,M,N,2001
1964,08-Apr-2001,Unprovoked,SOUTH AFRICA,Surfing,M,N,2001
1965,08-Apr-2001,Provoked,AUSTRALIA,Snorkeling,M,N,2001
1966,05-Apr-2001,Unprovoked,USA,Standing alongside surfboard,M,N,2001
1968,02-Apr-2001,Unprovoked,AUSTRALIA,Surfing,M,N,2001
1969,23-Mar-2001,Unprovoked,USA,Body-boarding,M,N,2001
1970,09-Mar-2001,Unprovoked,USA,Surfing,M,N,2001
1976,04-Feb-2001,Unprovoked,AUSTRALIA,Surfing,M,N,2001
1977,Reported24-Jan-2001,Boating,AUSTRALIA,Kayaking,M,N,2001
1980,09-Jan-2001,Unprovoked,USA,Surfing,M,N,2001
1982,24-Dec-2000,Unprovoked,AUSTRALIA,Scuba diving,M,N,2000
1986,03-Dec-2000,Unprovoked,AUSTRALIA,Spearfishing,M,N,2000
1988,21-Nov-2000,Unprovoked,AUSTRALIA,Diving (shell maintenance),M,N,2000
1989,20-Nov-2000,Invalid,AUSTRALIA,Shipwrecked,M,,2000
1990,17-Nov-2000,Unprovoked,USA,Swimming,M,N,2000
1991,10-Nov-2000,Invalid,USA,Walking,F,,2000
1992,06-Nov-2000,Unprovoked,AUSTRALIA,Swimming,M,N,2000
1993,06-Nov-2000,Unprovoked,AUSTRALIA,Swimming,M,Y,2000
1994,04-Nov-2000,Unprovoked,USA,Surfing,M,N,2000
1996,20-Oct-2000,Unprovoked,USA,Surfing,M,N,2000
1997,18-Oct-2000,Unprovoked,USA,Swimming / snorkeling,F,N,2000
1998,14-Oct-2000,Unprovoked,USA,Swimming,M,N,2000
1999,09-Oct-2000,Unprovoked,USA,Surfing,M,N,2000
2000,06-Oct-2000,Unprovoked,USA,Surfing,M,N,2000
2001,06-Oct-2000,Unprovoked,USA,Body surfing,M,N,2000
2002,02-Oct-2000,Unprovoked,USA,Surfing,M,N,2000
2003,29-Sep-2000,Unprovoked,USA,Sitting on surfboard,M,N,2000
2004,25-Sep-2000,Unprovoked,AUSTRALIA,Surfing,M,Y,2000
2005,24-Sep-2000,Unprovoked,AUSTRALIA,Surfing,M,Y,2000
2006,19-Sep-2000,Provoked,AUSTRALIA,Fell onto dead shark,M,N,2000
2009,15-Sep-2000,Unprovoked,USA,Standing / surfing,M,N,2000
2010,12-Sep-2000,Unprovoked,USA,Surfing,F,N,2000
2011,11-Sep-2000,Unprovoked,USA,Swimming / Body surfing,M,N,2000
2012,10-Sep-2000,Unprovoked,USA,Swimming,M,N,2000
2013,10-Sep-2000,Unprovoked,SOUTH AFRICA,Free diving,M,N,2000
2015,08-Sep-2000,Unprovoked,USA,Wading,M,N,2000
