,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
3252,02-Sep-1974,Unprovoked,USA,Scuba diving (but on surface),M,N,1974
3254,01-Sep-1974,Sea Disaster,AUSTRALIA,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,N,1974
3255,Sep-1974,Unprovoked,USA,Surfing,M,N,1974
3261,05-Aug-1974,Unprovoked,USA,Surfing,M,N,1974
3262,26-Jul-1974,Unprovoked,USA,Free diving for abalone (submerged),M,N,1974
3263,20-Jul-1974,Unprovoked,USA,Swimming,M,Y,1974
3264,02-Jul-1974,Sea Disaster,USA,Adrift after the sinking of the motor yacht Princess Dianne,M,Y,1974
3265,20-Jun-1974,Unprovoked,USA,Swimming,F,N,1974
3266,26-May-1974,Unprovoked,USA,Free diving (but on surface),M,N,1974
3268,20-Apr-1974,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,1974
3269,14-Apr-1974,Unprovoked,SOUTH AFRICA,Standing,M,N,1974
3270,12-Apr-1974,Unprovoked,USA,Swimming,F,N,1974
3271,04-Apr-1974,Unprovoked,SOUTH AFRICA,Surfing,M,N,1974
3272,21-Mar-1974,Unprovoked,SOUTH AFRICA,Surfing,M,N,1974
3274,13-Feb-1974,Unprovoked,SOUTH AFRICA,Swimming,M,N,1974
3278,13-Jan-1974,Unprovoked,SOUTH AFRICA,Sitting,M,N,1974
3279,09-Jan-1974,Unprovoked,AUSTRALIA,Diving for abalone,M,Y,1974
3280,07-Jan-1974,Unprovoked,SOUTH AFRICA,Swimming,M,N,1974
3283,1974,Unprovoked,AUSTRALIA,Spearfishing,M,N,1974
3288,18-Dec-1973,Unprovoked,USA,Swimming,M,N,1973
3291,24-Nov-1973,Unprovoked,USA,Surfing,M,N,1973
3292,03-Nov-1973,Unprovoked,AUSTRALIA,,M,N,1973
3293,29-Sep-1973,Sea Disaster,SOUTH AFRICA,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,M,Y,1973
3299,25-Aug-1973,Unprovoked,AUSTRALIA,Surfing,M,N,1973
3300,16-Aug-1973,Unprovoked,USA,Crabbing (spearing crabs),M,N,1973
3303,26-Mar-1973,Unprovoked,AUSTRALIA,,M,N,1973
3305,Mar-1973,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,1973
3307,21-Jan-1973,Provoked,SOUTH AFRICA,Fishing from paddleski,M,N,1973
3308,09-Jan-1973,Unprovoked,USA,Surfing,M,N,1973
3311,1973,Unprovoked,SOUTH AFRICA,Surfing,M,N,1973
3312,31-Dec-1972,Unprovoked,SOUTH AFRICA,Treading water,M,N,1972
3315,24-Dec-1972,Unprovoked,SOUTH AFRICA,Swimming,M,N,1972
3316,21-Dec-1972,Unprovoked,AUSTRALIA,,M,N,1972
3319,21-Oct-1972,Unprovoked,AUSTRALIA,Spearfishing,M,N,1972
3320,21-Oct-1972,Unprovoked,AUSTRALIA,Surfing,M,N,1972
3321,14-Oct-1972,Unprovoked,USA,Scuba diving,M,Y,1972
3322,14-Oct-1972,Unprovoked,USA,Surfing,M,N,1972
3324,09-Sep-1972,Unprovoked,USA,Surfing,M,N,1972
3326,29-Aug-1972,Unprovoked,USA,Surfing,M,N,1972
3327,17-Aug-1972,Unprovoked,USA,Spearfishing,M,N,1972
3328,08-Aug-1972,Unprovoked,AUSTRALIA,Diving for abalone,M,N,1972
3330,26-Jun-1972,Unprovoked,AUSTRALIA,,M,Y,1972
3332,10-Jun-1972,Unprovoked,USA,Surfing,M,N,1972
3333,28-May-1972,Unprovoked,USA,Free diving for abalone,M,N,1972
3336,01-Apr-1972,Unprovoked,AUSTRALIA,,F,N,1972
